I,VSEO
3250.226,1272.467
3123.744,1272.773
2990.526,1271.242
2855.776,1271.854
2722.864,1272.467
2589.339,1272.16
2457.039,1272.773
2320.146,1271.242
2186.315,1272.16
2052.79,1271.242
1918.959,1271.242
1782.372,1271.242
1648.541,1270.935
1515.322,1272.16
1383.329,1271.854
1248.273,1271.854
1112.604,1270.323
978.773,1269.71
845.249,1271.242
712.03,1270.935
574.83,1270.935
441.612,1269.404
306.249,1270.017
171.5,1270.323
33.687,1270.323
-101.981,1274.304
-236.425,1273.385
-370.868,1274.61
-505.618,1274.917
-643.736,1273.998
-778.18,1274.61
-912.317,1275.223
-1046.148,1276.141
-1184.573,1274.917
-1318.404,1275.835
-1452.235,1275.529
-1587.291,1275.529
-1719.897,1276.141
-1857.403,1276.448
-1992.459,1277.367
-2125.984,1277.673
-2261.04,1277.979
-2397.321,1277.979
-2532.989,1278.285
-2666.514,1278.592
-2800.345,1277.673
-2938.157,1277.367
-3072.295,1277.979
-3206.432,1278.592
-3339.65,1278.898
-3239.507,1277.673
-3117.007,1278.592
-2986.851,1278.285
-2851.182,1278.285
-2717.658,1276.754
-2585.052,1277.06
-2450.915,1276.448
-2313.102,1277.367
-2180.19,1277.367
-2046.359,1277.06
-1913.447,1278.285
-1776.247,1277.367
-1643.028,1276.754
-1508.891,1276.754
-1376.285,1276.448
-1242.76,1274.61
-1104.948,1275.529
-972.342,1275.835
-837.899,1275.223
-706.211,1275.529
-569.624,1275.223
-434.874,1275.223
-301.349,1274.61
-168.743,1274.304
-35.525,1274.304
101.062,1277.673
233.668,1270.935
367.806,1268.792
502.249,1270.629
639.143,1270.323
773.586,1270.017
908.642,1270.017
1042.473,1270.629
1178.754,1270.017
1312.891,1270.629
1448.56,1270.629
1582.391,1271.242
1715.303,1271.242
1852.503,1271.242
1986.334,1270.323
2119.859,1271.854
2253.69,1270.629
2391.196,1272.467
2525.333,1271.854
2661.614,1271.548
2795.751,1272.16
2932.032,1273.385
3069.538,1271.854
3204.288,1273.385
3339.038,1273.385
